# source: aznachrichten	NONE	NONE	NONE
# newdoc	NONE	NONE	NONE
# newpar	NONE	NONE	NONE
# sent_id = 1	NONE	NONE	NONE
1	Wegen	wegen	NONE
2	Verdachts	Verdacht	NONE
3	der	der	NONE
4	Vorbereitung	Vorbereitung	NONE
5	einer	ein	NONE
6	schweren	schwer	NONE
7	staatsgefährdenden	staatsgefährdend	NONE
8	Straftat	Straftat	NONE
9	hat	haben	NONE
10	die	der	NONE
11	Polizei	Polizei	NONE
12	in	in	NONE
13	mehreren	mehrere	NONE
14	Städten	Stadt	NONE
15	in	in	NONE
16	Hessen	Hessen	B-GPE
17	und	und	NONE
18	Rheinland-Pfalz	Rheinland-Pfalz	B-GPE
19	Anti-Terror-Durchsuchungen	Anti-Terror-Durchsuchung	NONE
20	vorgenommen	vornehmen	NONE
21	.	.	NONE
NONE	NONE	NONE	NONE
# 1109049956659269632	2	aznachrichten	NONE
# newdoc	NONE	NONE	NONE
# newpar	NONE	NONE	NONE
# sent_id = 1	NONE	NONE	NONE
1	https://t.co/ilxFAEWkoK	https://t.co/ilxFAEWkoK	B-URL
NONE	NONE	NONE	NONE
# 1109049468043907074	1	aznachrichten	NONE
# newdoc	NONE	NONE	NONE
# newpar	NONE	NONE	NONE
# sent_id = 1	NONE	NONE	NONE
1	Wann	wann	NONE
2	auch	auch	NONE
3	immer	immer	NONE
4	der	der	NONE
5	#Brexit	#Brexit	B-EVT
6	kommen	kommen	NONE
7	mag	mögen	NONE
8	-	-	NONE
9	die	der	NONE
10	#IHK	#IHK	B-ORG
11	bereitet	bereiten	NONE
12	die	der	NONE
13	Unternehmen	Unternehmen	NONE
14	in	in	NONE
15	#Rheinhessen	#Rheinhessen	B-LOC
16	darauf	darauf	NONE
17	vor	vor	NONE
18	und	und	NONE
19	empfiehlt	empfehlen	NONE
20	,	,	NONE
21	vom	vom	NONE
22	Worst-Case-Szenario	Worst-Case-Szenario	NONE
23	auszugehen	ausgehen	NONE
24	.	.	NONE
25	[	[	NONE
26	plus-Inhalt	plus-Inhalt	NONE
27	]	]	NONE
NONE	NONE	NONE	NONE
# 1109049468043907074	2	aznachrichten	NONE
# newdoc	NONE	NONE	NONE
# newpar	NONE	NONE	NONE
# sent_id = 1	NONE	NONE	NONE
1	https://t.co/7Gk7PqbM4G	https://t.co/7Gk7PqbM4G	B-URL
2	https://t.co/qpod2PaIM6	https://t.co/qpod2PaIM6	B-URL
NONE	NONE	NONE	NONE
# 1109047610248187904	1	aznachrichten	NONE
# newdoc	NONE	NONE	NONE
# newpar	NONE	NONE	NONE
# sent_id = 1	NONE	NONE	NONE
1	Am	am	NONE
2	Donnerstagmorgen	Donnerstagmorgen	B-TIME
3	wurden	werden	NONE
4	zwei	zwei	B-CARDINAL
5	Männer	Mann	NONE
6	im	im	NONE
7	Zuge	Zuge	NONE
8	ihres	ihr	NONE
9	Ärgers	Ärger	NONE
10	über	über	NONE
11	das	der	NONE
12	Fahrverhalten	Fahrverhalten	NONE
13	des	der	NONE
14	jeweils	jeweils	NONE
15	anderen	ander	NONE
16	im	im	NONE
17	Mainzer	Mainzer	B-NRP
18	Straßenverkehr	Straßenverkehr	NONE
19	handgreiflich	handgreiflich	NONE
20	.	.	NONE
NONE	NONE	NONE	NONE
# 1109047610248187904	2	aznachrichten	NONE
# newdoc	NONE	NONE	NONE
# newpar	NONE	NONE	NONE
# sent_id = 1	NONE	NONE	NONE
1	#Polizei	#Polizei	NONE
2	https://t.co/KOvPJJp46N	https://t.co/KOvPJJp46N	B-URL
NONE	NONE	NONE	NONE
# 1109037608984817664	1	aznachrichten	NONE
# newdoc	NONE	NONE	NONE
# newpar	NONE	NONE	NONE
# sent_id = 1	NONE	NONE	NONE
1	Wohnhaus	Wohnhaus	NONE
2	im	im	NONE
3	südhessischen	südhessisch	B-NRP
4	Birkenau	Birkenau	B-GPE
5	explodiert	explodieren	NONE
6	und	und	NONE
7	abgebrannt	abbrennen	NONE
NONE	NONE	NONE	NONE
# 1109037608984817664	2	aznachrichten	NONE
# newdoc	NONE	NONE	NONE
# newpar	NONE	NONE	NONE
# sent_id = 1	NONE	NONE	NONE
1	https://t.co/llfGO9ZKnA	https://t.co/llfGO9ZKnA	B-URL
NONE	NONE	NONE	NONE
# 1109022060435648512	1	aznachrichten	NONE
# newdoc	NONE	NONE	NONE
# newpar	NONE	NONE	NONE
# sent_id = 1	NONE	NONE	NONE
1	@vodafoneservice	@vodafoneservic	B-ORG
2	@mahrko	@mahrko	B-PER
NONE	NONE	NONE	NONE
# 1109022060435648512	2	aznachrichten	NONE
# 1109022060435648512	3	aznachrichten	NONE
# newdoc	NONE	NONE	NONE
# newpar	NONE	NONE	NONE
# sent_id = 1	NONE	NONE	NONE
1	https://t.co/IVnZhNSKv4	https://t.co/IVnZhNSKv4	B-URL
NONE	NONE	NONE	NONE
# 1109000050817011712	1	aznachrichten	NONE
# newdoc	NONE	NONE	NONE
# newpar	NONE	NONE	NONE
# sent_id = 1	NONE	NONE	NONE
1	Die	der	NONE
2	Köpfe	Kopf	NONE
3	hängen	hängen	NONE
4	nach	nach	NONE
5	der	der	NONE
6	0	0	B-SCORE
7	:	:	I-SCORE
8	6-Klatsche	6-Klatsche	I-SCORE
9	beim	beim	NONE
10	@FCBayern	@FCBayern	B-ORG
11	München	München	I-ORG
12	tief	taufen	NONE
13	,	,	NONE
14	die	der	NONE
15	Beine	Bein	NONE
16	sind	sein	NONE
17	schwer	schwer	NONE
18	.	.	NONE
NONE	NONE	NONE	NONE
# 1109000050817011712	1	aznachrichten	NONE
# newdoc	NONE	NONE	NONE
# newpar	NONE	NONE	NONE
# sent_id = 1	NONE	NONE	NONE
1	Für	für	NONE
2	#Mainz05	#Mainz05	B-ORG
3	zählt	zählen	NONE
4	jetzt	jetzt	B-TIME
5	erstmal	erstmal	NONE
6	wieder	wieder	B-SORD
7	Basisarbeit	Basisarbeit	NONE
8	,	,	NONE
9	berichtet	berichten	NONE
10	die	der	NONE
11	@Wortpiratin	@Wortpiratin	B-PER
12	von	von	NONE
13	der	der	NONE
14	Trainingswoche	Trainingswoche	NONE
15	der	der	NONE
16	05er	5	B-ORG
NONE	NONE	NONE	NONE
# 1109000050817011712	2	aznachrichten	NONE
# newdoc	NONE	NONE	NONE
# newpar	NONE	NONE	NONE
# sent_id = 1	NONE	NONE	NONE
1	https://t.co/9jv3XIYRVy	https://t.co/9jv3XIYRVy	B-URL
NONE	NONE	NONE	NONE
# 1108987579175702528	1	aznachrichten	NONE
# newdoc	NONE	NONE	NONE
# newpar	NONE	NONE	NONE
# sent_id = 1	NONE	NONE	NONE
1	#Mainz05	#Mainz05	B-TITLE
2	-Stürmer	-Stürmer	I-TITLE
3	Anthony	Anthony	B-PER
4	@ujah21	@ujah21	I-PER
5	im	im	NONE
6	Interview	Interview	NONE
7	über	über	NONE
8	seine	sein	NONE
9	Torflaute	Torflaute	NONE
10	,	,	NONE
11	die	der	NONE
12	0	0	B-SCORE
13	:	:	I-SCORE
14	6-Klatsche	6-Klatsch	I-SCORE
15	beim	beim	NONE
16	@FCBayern	@FCBayern	B-ORG
17	und	und	NONE
